logname,AI,shoot,TRUE,deleted,get,"get, horse","get, shield","get, coin_v_1","Name, get, horse","Name, get, shield","Name, get, coin_v_1","gen, horse","gen, shield",Remake,"Name, shoot","shoot, Name","Name, shoot, Name","Name, get",LevelTime
2022-03-01-16-50-41.log,23,44,2,13,26,2,0,23,0,0,0,8,6,0,0,0,0,0,23
2022-03-01-16-59-42.log,17,54,1,8,23,0,0,22,0,0,0,3,5,0,0,0,0,0,23
2022-03-01-17-44-43.log,22,41,1,13,28,0,0,27,0,0,0,8,5,0,0,0,0,0,23
2022-03-01-17-55-45.log,19,62,2,9,21,0,1,19,0,0,0,7,3,0,0,0,0,0,23
2022-03-01-18-01-21.log,19,33,1,10,22,0,0,21,0,0,0,6,4,0,0,0,0,0,23
2022-03-01-18-15-30.log,17,49,1,8,28,0,0,27,0,0,0,4,4,0,0,0,0,0,23
2022-03-01-16-33-06.log,18,63,3,7,27,0,0,26,0,0,0,6,3,0,0,0,0,0,22
2022-03-01-16-38-21.log,20,52,1,11,16,1,0,14,0,0,0,8,3,0,0,0,0,0,22
2022-03-01-17-42-40.log,24,54,1,15,22,1,1,19,0,0,0,10,5,0,0,0,0,0,22
2022-03-01-16-27-34.log,23,42,1,14,18,1,0,16,0,0,0,7,7,0,0,0,0,0,21
2022-03-01-16-42-12.log,20,48,1,11,24,1,0,22,0,0,0,7,4,0,0,0,0,0,21
2022-03-01-16-43-26.log,17,44,1,8,27,0,0,26,0,0,0,3,5,0,0,0,0,0,21
2022-03-01-16-46-20.log,19,55,2,9,21,1,0,19,0,0,0,5,5,0,0,0,0,0,21
2022-03-01-17-05-42.log,24,32,1,15,24,0,2,21,0,0,0,7,8,0,0,0,0,0,21
2022-03-01-17-08-10.log,20,39,1,11,26,1,1,23,0,0,0,6,5,0,0,0,0,0,21
2022-03-01-17-46-30.log,15,68,3,4,29,0,2,26,0,0,0,1,5,0,0,0,0,0,21
2022-03-01-17-49-59.log,23,48,2,13,26,0,3,22,0,0,0,4,10,0,0,0,0,0,21
2022-03-01-18-04-53.log,18,54,2,8,24,0,1,22,0,0,0,7,2,0,0,0,0,0,21
2022-03-01-18-05-15.log,30,51,2,20,24,5,1,17,0,0,0,12,9,0,0,0,0,0,21
2022-03-01-18-06-27.log,16,47,2,6,30,0,0,29,0,0,0,4,3,0,0,0,0,0,21
2022-03-01-18-21-32.log,20,49,1,11,20,0,0,19,0,0,0,4,7,0,0,0,0,0,21
2022-03-01-16-41-05.log,13,49,2,3,22,0,0,21,0,0,0,1,3,0,0,0,0,0,20
2022-03-01-16-52-44.log,16,36,1,7,24,0,0,23,0,0,0,2,5,0,0,0,0,0,20
2022-03-01-17-03-18.log,16,57,2,6,24,0,1,22,0,0,0,4,3,0,0,0,0,0,20
2022-03-01-17-44-22.log,19,46,1,10,22,2,1,18,0,0,0,5,5,0,0,0,0,0,20
2022-03-01-18-07-31.log,17,48,2,7,18,0,0,17,0,0,0,3,5,0,0,0,0,0,20
2022-03-01-18-18-44.log,18,39,1,9,18,0,1,16,0,0,0,4,5,0,0,0,0,0,20
2022-03-01-16-27-56.log,18,41,1,9,20,0,1,18,0,0,0,5,4,0,0,0,0,0,19
2022-03-01-16-29-31.log,18,45,2,8,27,0,2,24,0,0,0,3,6,0,0,0,0,0,19
2022-03-01-16-39-26.log,12,63,2,2,23,0,0,22,0,0,0,0,3,0,0,0,0,0,19
2022-03-01-16-40-05.log,23,40,1,14,25,3,2,19,0,0,0,10,4,0,0,0,0,0,19
2022-03-01-16-44-17.log,20,42,1,11,21,0,0,20,0,0,0,6,5,0,0,0,0,0,19
2022-03-01-16-48-27.log,15,49,1,6,19,0,0,18,0,0,0,3,3,0,0,0,0,0,19
2022-03-01-17-01-45.log,19,44,2,9,20,0,1,18,0,0,0,6,4,0,0,0,0,0,19
2022-03-01-17-08-32.log,18,51,2,8,25,0,2,22,0,0,0,4,5,0,0,0,0,0,19
2022-03-01-17-40-22.log,20,50,2,10,20,0,0,19,0,0,0,8,3,0,0,0,0,0,19
2022-03-01-17-58-06.log,20,50,3,9,16,0,0,15,0,0,0,3,8,0,0,0,0,0,19
2022-03-01-18-04-17.log,10,57,2,1,21,0,0,20,0,0,0,2,0,0,0,0,0,0,19
2022-03-01-18-11-27.log,13,37,1,4,27,0,0,26,0,0,0,2,2,0,0,0,0,0,19
2022-03-01-18-14-41.log,17,47,3,6,19,0,0,18,0,0,0,3,5,0,0,0,0,0,19
2022-03-01-16-39-46.log,20,45,2,10,28,0,1,26,0,0,0,5,6,0,0,0,0,0,18
2022-03-01-17-44-04.log,20,48,1,11,20,1,0,18,0,0,0,5,6,0,0,0,0,0,18
2022-03-01-18-09-12.log,20,45,3,9,19,0,0,18,0,0,0,4,7,0,0,0,0,0,18
2022-03-01-18-21-14.log,18,51,1,9,18,0,0,17,0,0,0,6,3,0,0,0,0,0,18
2022-03-01-16-31-20.log,19,25,1,10,19,0,0,18,0,0,0,4,6,0,0,0,0,0,17
2022-03-01-16-46-02.log,20,49,2,10,20,1,0,18,0,0,0,8,3,0,0,0,0,0,17
2022-03-01-16-53-35.log,17,43,2,8,18,0,0,17,0,0,0,4,5,0,0,0,0,0,17
2022-03-01-16-54-33.log,16,42,2,6,17,0,2,14,0,0,0,1,6,0,0,0,0,0,17
2022-03-01-17-45-08.log,18,47,1,9,21,0,0,20,0,0,0,5,4,0,0,0,0,0,17
2022-03-01-17-46-11.log,19,35,1,10,21,0,0,20,0,0,0,2,8,0,0,0,0,0,17
2022-03-01-17-59-06.log,17,35,1,8,23,0,0,22,0,0,0,5,3,0,0,0,0,0,17
2022-03-01-18-01-03.log,21,27,1,12,18,1,0,16,0,0,0,6,6,0,0,0,0,0,17
2022-03-01-18-05-37.log,17,47,1,8,21,2,0,18,0,0,0,5,3,0,0,0,0,0,17
2022-03-01-18-08-43.log,14,42,1,5,18,0,0,17,0,0,0,2,3,0,0,0,0,0,17
2022-03-01-18-20-55.log,17,41,1,8,19,1,0,17,0,0,0,4,4,0,0,0,0,0,17
2022-03-01-16-32-33.log,18,33,1,9,27,0,0,26,0,0,0,5,4,0,0,0,0,0,16
2022-03-01-16-33-29.log,14,29,1,5,15,0,0,14,0,0,0,2,3,0,0,0,0,0,16
2022-03-01-16-36-32.log,15,53,1,6,21,0,0,20,0,0,0,5,1,0,0,0,0,0,16
2022-03-01-16-38-04.log,15,43,2,5,15,0,0,14,0,0,0,5,1,0,0,0,0,0,16
2022-03-01-16-57-24.log,15,43,1,6,17,0,0,16,0,0,0,1,5,0,0,0,0,0,16
2022-03-01-17-06-31.log,13,20,1,4,18,0,0,17,0,0,0,2,2,0,0,0,0,0,16
2022-03-01-17-07-53.log,16,34,1,7,19,0,1,17,0,0,0,3,4,0,0,0,0,0,16
2022-03-01-17-45-26.log,18,39,2,8,23,0,1,21,0,0,0,4,5,0,0,0,0,0,16
2022-03-01-17-51-27.log,12,45,1,3,19,0,0,18,0,0,0,0,3,0,0,0,0,0,16
2022-03-01-18-01-45.log,17,28,1,8,18,0,1,16,0,0,0,1,7,0,0,0,0,0,16
2022-03-01-18-03-17.log,12,41,1,3,16,0,0,15,0,0,0,2,1,0,0,0,0,0,16
2022-03-01-18-16-30.log,16,41,2,6,19,0,0,18,0,0,0,4,3,0,0,0,0,0,16
2022-03-01-18-19-05.log,15,26,1,6,16,0,0,15,0,0,0,3,3,0,0,0,0,0,16
2022-03-01-16-32-50.log,14,59,2,4,19,0,0,18,0,0,0,3,2,0,0,0,0,0,15
2022-03-01-16-39-09.log,17,33,2,7,19,1,0,17,0,0,0,5,3,0,0,0,0,0,15
2022-03-01-16-43-10.log,15,31,1,6,17,0,0,16,0,0,0,4,2,0,0,0,0,0,15
2022-03-01-17-47-02.log,16,36,1,7,17,1,0,15,0,0,0,3,4,0,0,0,0,0,15
2022-03-01-18-04-37.log,16,46,2,6,21,2,0,18,0,0,0,4,3,0,0,0,0,0,15
2022-03-01-16-27-18.log,18,37,2,8,26,0,1,24,0,0,0,4,5,0,0,0,0,0,14
2022-03-01-16-30-52.log,14,51,2,4,17,0,0,16,0,0,0,1,4,0,0,0,0,0,14
2022-03-01-16-32-18.log,14,34,1,5,16,0,0,15,0,0,0,2,3,0,0,0,0,0,14
2022-03-01-17-41-17.log,13,30,1,4,22,0,0,21,0,0,0,2,2,0,0,0,0,0,14
2022-03-01-17-47-30.log,11,34,1,2,14,0,0,13,0,0,0,1,1,0,0,0,0,0,14
2022-03-01-17-51-57.log,11,35,1,2,20,0,0,19,0,0,0,1,1,0,0,0,0,0,14
2022-03-01-17-53-44.log,9,40,2,0,17,0,0,16,0,0,0,0,1,0,0,0,0,0,14
2022-03-01-17-55-16.log,11,34,1,2,14,0,0,13,0,0,0,1,1,0,0,0,0,0,14
2022-03-01-17-59-24.log,17,24,1,8,18,0,1,16,0,0,0,4,4,0,0,0,0,0,14
2022-03-01-18-03-35.log,17,28,1,8,22,0,0,21,0,0,0,4,4,0,0,0,0,0,14
2022-03-01-18-09-58.log,15,34,1,6,22,0,0,21,0,0,0,2,4,0,0,0,0,0,14
2022-03-01-18-20-30.log,14,44,2,4,25,1,1,22,0,0,0,1,4,0,0,0,0,0,14
2022-03-01-16-31-07.log,13,22,1,4,12,0,0,11,0,0,0,1,3,0,0,0,0,0,13
