logname,AI,shoot,True,deleted,get,"get, horse","get, shield","get, coin_v_1","Name, get, horse","Name, get, shield","Name, get, coin_v_1","gen, horse","gen, shield",Remake,"Name, shoot","shoot, Name","Name, shoot, Name","Name, get",LevelTime
2022-03-08-13-43-09.log,14,114,6,0,22,5,1,15,0,0,0,4,1,0,0,0,0,0,30
2022-03-08-13-43-40.log,11,55,3,0,8,0,0,7,0,0,0,0,2,0,0,0,0,0,10
2022-03-08-13-43-51.log,9,29,1,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,7
2022-03-08-13-43-59.log,14,89,6,0,21,4,1,15,0,0,0,4,1,0,0,0,0,0,26
2022-03-08-13-44-26.log,9,32,1,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,7
2022-03-08-13-44-34.log,9,56,1,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,12
2022-03-08-13-44-47.log,13,88,5,0,17,1,1,14,0,0,0,2,2,0,0,0,0,0,18
2022-03-08-13-45-06.log,9,36,1,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,11
2022-03-08-13-45-18.log,9,27,1,0,14,0,0,13,0,0,0,0,0,0,0,0,0,0,7
2022-03-08-13-45-26.log,13,101,5,0,17,2,2,12,0,0,0,2,2,0,0,0,0,0,22
2022-03-08-13-45-49.log,10,58,2,0,14,0,1,12,0,0,0,0,1,0,0,0,0,0,13
2022-03-08-13-46-03.log,10,45,2,0,11,1,0,9,0,0,0,1,0,0,0,0,0,0,14
2022-03-08-13-46-18.log,10,64,2,0,11,0,0,10,0,0,0,0,1,0,0,0,0,0,18
2022-03-08-13-46-37.log,10,59,2,0,15,0,1,13,0,0,0,0,1,0,0,0,0,0,20
2022-03-08-13-46-58.log,10,56,2,0,14,1,0,12,0,0,0,1,0,0,0,0,0,0,19
2022-03-08-13-47-18.log,12,85,4,0,21,1,3,16,0,0,0,1,2,0,0,0,0,0,18
2022-03-08-13-47-37.log,10,49,2,0,11,0,1,9,0,0,0,0,1,0,0,0,0,0,11
2022-03-08-13-47-49.log,9,32,1,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,10
2022-03-08-13-48-01.log,9,42,1,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,14
2022-03-08-13-48-15.log,11,79,3,0,18,2,0,15,0,0,0,2,0,0,0,0,0,0,20
